,Accuracy,Precision,Recall,F1 Score,ROC AUC
Logistic Regression,0.9658750748353622,0.9465231203671021,0.9927804516845613,0.9691001084206722,0.9771184634198332
KNN,0.6764118938335661,0.6886907883237197,0.7293594964827842,0.7084419670952081,0.7387376168198087
